"","FIPS","Geography.x","TotalPop","PovertyRate","BlackPop","BlackPovertyRate","AsianPop","AsianPoverty","HispanicPop","HispanicPoverty","WhitePop","WhitePovertyRate","PercentBachelor.s","State..FIPS.","Place..FIPS.","Area.Name","SqMiles","tot.protests","tot.attend","deaths","deaths_unarmed","deaths_unarmed_black","deaths_armed_black","deaths_black","deaths_protestyear","deaths_protestyear_unarmed","X.x","NAACPyears","MayorPartisanship","blackmayor","FIPS_PLACE","dem","rep","dem_share","FIPS_ST","X.y","pop","hbcu","hbcu2","crime","deathduring","per_ba","Per_Black","pop.density","collegeenrollpc","mayorrep","unarmed_deaths_pc","deaths_pc","unarmed_deaths_black_pc","deaths_black_pc","anyprotests"
"15","100820","Alabaster city, Alabama",30613,11.1,4061,11.6,124,"0",3524,"47.9",22381,"5.4","33.99255823",1,820,"Alabaster",23.4,0,0,0,0,0,0,0,0,0,NA,0,"R",0,820,3431,9814,25.90411,1,NA,0,0,0,0,0,33.99255823,13.2656061150492,1308.24786324786,0,1,0,0,0,0,0
"36","1021200","Dover city, Delaware",32475,19,13058,24.5,781,"22.2",2898,"22.6",14949,"12.1","29.00828808",10,21200,"Dover",23.148,0,0,0,0,0,0,0,1,1,162,4,"D",0,21200,9741,5243,65.00934,10,307,5000,1,1,0,1,29.00828808,40.2093918398768,1402.92897874546,15.3964588144727,0,0,0,0,0,0
"58","103076","Auburn city, Alabama",52721,31.3,9355,38.6,3569,"21.3",2114,"25.9",36983,"30.8","60.24546635",1,3076,"Auburn",56.807,0,0,0,0,0,0,0,0,0,NA,0,"R",0,3076,8617,12129,41.53572,1,3,30000,0,0,0,0,60.24546635,17.7443523453652,928.072244617741,56.903321257184,1,0,0,0,0,0
"119","107000","Birmingham city, Alabama",205048,31,152536,34.1,1999,"14.3",7239,"38.4",41665,"19.1","23.42095813",1,7000,"Birmingham",149.236,4,112,2,0,0,2,2,2,0,3,10,"D",1,7000,88787,17486,83.54615,1,5,17500,0,0,1,0,23.42095813,74.3903866411767,1373.98482939773,8.5345870235262,0,0,0.097538137411728,0,0.097538137411728,1
"126","1077580","Wilmington city, Delaware",68801,26.1,38280,32.6,746,"7.9",9596,"34.2",19692,"10.2","26.35246613",10,77580,"Wilmington",10.955,0,0,1,1,1,0,1,0,0,165,15,"D",1,77580,27545,3541,88.60902,10,310,7500,0,0,1,0,26.35246613,55.6387261813055,6280.32861706983,10.9010043458671,0,0.145346724611561,0.145346724611561,0.145346724611561,0.145346724611561,0
"173","1150000","Washington city, District of Columbia",599620,18.2,300482,26.5,20585,"16.1",60874,"17.1",208411,"7.4","54.01758736",11,50000,"Washington",61.095,22,48983,8,0,0,5,5,3,0,166,26,"D",1,NA,NA,NA,NA,NA,312,95000,2,1,1,0,54.01758736,50.1120709782862,9814.55110892872,15.8433674660618,0,0,0.133417831293152,0,0.0833861445582202,1
"213","1200410","Alafaya CDP, Florida",85426,12.8,7566,17.1,6918,"18.7",31581,"16.4",37888,"8.8","41.16755707",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,410,18165,13587,57.20899,12,NA,0,0,0,0,0,41.16755707,8.85678833142135,NA,0,0,0,0,0,0,0
"216","1200950","Altamonte Springs city, Florida",41473,10.7,6029,12.9,1150,"6.6",9768,"16.7",23944,"8.2","33.99032144",12,950,"Altamonte Springs",9.013,0,0,2,0,0,0,0,0,0,NA,0,"D",0,950,8887,8010,52.59514,12,NA,0,0,0,0,0,33.99032144,14.5371687603983,4601.46455120382,0,0,0,0.48224145829817,0,0,0
"218","120104","Decatur city, Alabama",54671,18.7,11680,32.6,566,"31.3",7168,"28.4",33776,"11","23.49997309",1,20104,"Decatur",53.238,0,0,0,0,0,0,0,0,0,4,3,"NP",0,20104,7999,14680,35.27051,1,NA,0,0,0,0,0,23.49997309,21.3641601580363,1026.91686389421,0,0,0,0,0,0,0
"227","1201700","Apopka city, Florida",44285,17,9194,25,1597,"20.3",12008,"28",20180,"7.4","27.09932947",12,1700,"Apopka",31.264,0,0,0,0,0,0,0,0,0,NA,0,"D",0,1700,7727,7154,51.92527,12,NA,0,0,0,0,0,27.09932947,20.7609800158067,1416.48541453429,0,0,0,0,0,0,0
"239","1202681","Aventura city, Florida",36794,12.3,1184,37.2,331,"8.8",13150,"12.2",21915,"11.5","51.06199275",12,2681,"Aventura",2.653,0,0,0,0,0,0,0,0,0,NA,0,"D",0,2681,8013,4656,63.24888,12,NA,0,0,0,0,0,51.06199275,3.21791596455944,13868.8277421787,0,0,0,0,0,0,0
"284","1207300","Boca Raton city, Florida",85309,10.1,3760,24,2080,"13.4",10314,"15.4",67369,"8.1","52.18137605",12,7300,"Boca Raton",29.193,0,0,3,0,0,0,0,0,0,NA,0,"R",0,7300,21278,20423,51.02516,12,316,35000,0,0,0,0,52.18137605,4.40750682811896,2922.24163326825,41.0273241979158,1,0,0.351662778839278,0,0,0
"287","1207525","Bonita Springs city, Florida",46086,20.1,500,16,697,"11.5",12508,"50.8",32128,"8.4","31.18509972",12,7525,"Bonita Springs",38.578,0,0,1,0,0,0,0,0,0,NA,0,"R",0,7525,6499,10310,38.66381,12,NA,0,0,0,0,0,31.18509972,1.08492817775463,1194.61869459277,0,1,0,0.216985635550927,0,0,0
"290","1207875","Boynton Beach city, Florida",69511,17.7,22691,31.7,1572,"11",8519,"12.7",36219,"10.6","25.2642917",12,7875,"Boynton Beach",16.142,0,0,1,0,0,0,0,0,0,173,2,"R",0,7875,18509,8838,67.68201,12,NA,0,0,0,0,0,25.2642917,32.6437542259498,4306.21979928138,0,1,0,0.143862122541756,0,0,0
